episode,epsilon,reward,n_solved,n_attempted,solve_rate,final_rating,avg_loss,buffer_size,steps,total_steps,duration_s
76,0.9822,34.89,2,7,0.286,1081.7675000000002,51.3826,376,7,376,0.78
77,0.9819,36.31,4,5,0.8,1439.1572173913044,48.2044,381,5,381,0.55
78,0.9817,55.14,4,7,0.571,1400.454275862069,47.27502,388,7,388,0.73
79,0.9815,11.51,1,4,0.25,1456.7414090909092,44.88887,392,4,392,0.45
80,0.9812,35.49,3,6,0.5,1345.0,48.17682,398,6,398,0.64
81,0.981,2.59,1,2,0.5,1705.0474499999996,52.03373,400,2,400,0.21
82,0.9808,-3.49,1,4,0.25,1064.0,49.77304,404,4,404,0.41
83,0.9805,12.0,1,4,0.25,1157.8395652173913,62.86388,408,4,408,0.42
84,0.9803,0.82,1,5,0.2,1334.617,47.14045,413,5,413,0.52
85,0.98,62.41,4,6,0.667,1273.3665,60.43662,419,6,419,0.65
86,0.9798,10.26,1,3,0.333,1130.9597142857144,54.7084,422,3,422,0.32
87,0.9796,17.16,1,6,0.167,1076.2179047619047,54.21444,428,6,428,0.65
88,0.9793,24.85,3,9,0.333,1537.9779655172415,49.35499,437,9,437,0.98
89,0.9791,15.3,2,3,0.667,1120.5304090909092,42.58625,440,3,440,0.31
90,0.9789,59.94,8,10,0.8,1764.8464411764705,45.22555,450,10,450,1.07
91,0.9786,45.69,2,4,0.5,1247.2096666666666,50.50764,454,4,454,0.44
92,0.9784,-2.12,2,3,0.667,1151.6544347826086,48.59016,457,3,457,0.33
93,0.9781,25.23,1,3,0.333,1352.1771304347826,49.39688,460,3,460,0.32
94,0.9779,15.79,1,4,0.25,1145.9319090909091,59.84009,464,4,464,0.41
95,0.9777,8.11,1,5,0.2,1170.0158260869566,52.3123,469,5,469,0.53
96,0.9774,-0.25,0,5,0.0,1340.5,55.23044,474,5,474,0.53
97,0.9772,3.12,2,4,0.5,1385.04125,58.64271,478,4,478,0.46
98,0.977,34.91,2,4,0.5,1333.503857142857,53.06005,482,4,482,0.43
99,0.9767,26.36,2,4,0.5,1032.3681923076924,46.69732,486,4,486,0.47
100,0.9765,39.2,2,4,0.5,1695.6844347826086,45.68137,490,4,490,0.45
101,0.9762,54.66,4,5,0.8,1122.5213703703703,45.32219,495,5,495,0.55
102,0.976,31.74,3,4,0.75,1139.2660869565218,47.9428,499,4,499,0.47
103,0.9758,3.81,0,6,0.0,1037.5,46.21483,505,6,505,0.71
104,0.9755,10.27,1,5,0.2,1077.6428,41.48395,510,5,510,0.58
105,0.9753,26.03,2,6,0.333,1692.331,40.93246,516,6,516,0.71
106,0.9751,26.68,4,8,0.5,1684.419875,43.61805,524,8,524,0.93
107,0.9748,15.99,5,7,0.714,1535.4212499999999,47.89371,531,7,531,0.79
108,0.9746,39.06,5,7,0.714,1744.8612068965517,46.47544,538,7,538,0.78
109,0.9743,17.23,1,4,0.25,1405.0,49.04778,542,4,542,0.43
110,0.9741,9.63,1,4,0.25,1126.6341363636363,38.26733,546,4,546,0.46
111,0.9739,12.09,1,4,0.25,1200.0155652173912,42.14819,550,4,550,0.47
112,0.9736,-5.24,1,3,0.333,1240.2358181818183,49.80402,553,3,553,0.36
113,0.9734,18.41,3,5,0.6,1532.3483870967743,49.62108,558,5,558,0.58
114,0.9732,8.28,1,2,0.5,1201.42615,63.3332,560,2,560,0.23
115,0.9729,22.09,3,8,0.375,1270.373551724138,53.30932,568,8,568,0.94
116,0.9727,15.64,2,6,0.333,1074.1527777777778,50.29897,574,6,574,0.68
117,0.9724,26.06,1,6,0.167,1485.0,45.5997,580,6,580,0.69
118,0.9722,63.82,5,7,0.714,1585.2296296296295,44.83493,587,7,587,0.8
119,0.972,7.32,4,5,0.8,1880.8016538461538,51.4748,592,5,592,0.57
120,0.9717,10.07,2,7,0.286,1608.02484,54.14459,599,7,599,0.79
121,0.9715,31.9,1,2,0.5,1330.9757142857143,39.16265,601,2,601,0.25
122,0.9713,12.59,2,6,0.333,1613.809724137931,66.49385,607,6,607,0.67
123,0.971,30.96,2,6,0.333,1882.8687142857143,50.63469,613,6,613,0.7
124,0.9708,1.47,1,6,0.167,1447.2743636363637,55.57093,619,6,619,0.68
125,0.9705,12.54,1,3,0.333,1357.1982380952381,47.81407,622,3,622,0.35
126,0.9703,4.42,2,4,0.5,1114.8616666666667,49.49536,626,4,626,0.49
127,0.9701,-9.5,0,5,0.0,1084.5,55.53347,631,5,631,0.6
128,0.9698,17.1,2,4,0.5,1094.38788,57.14697,635,4,635,0.51
129,0.9696,40.26,2,2,1.0,1257.035090909091,39.73068,637,2,637,0.24
130,0.9694,-4.05,2,4,0.5,1266.7020416666667,52.7379,641,4,641,0.49
131,0.9691,64.35,5,8,0.625,1369.113655172414,55.65321,649,8,649,0.97
132,0.9689,26.2,1,1,1.0,1140.08015,36.97952,650,1,650,0.12
133,0.9686,2.93,1,3,0.333,1275.0869500000001,71.84501,653,3,653,0.37
134,0.9684,66.66,4,5,0.8,1482.8041153846154,51.76407,658,5,658,0.63
135,0.9682,48.1,2,2,1.0,1363.7171818181819,46.5181,660,2,660,0.25
136,0.9679,29.66,4,5,0.8,1575.0199999999998,60.11435,665,5,665,0.63
137,0.9677,59.51,5,7,0.714,1821.1899230769232,61.4578,672,7,672,0.84
138,0.9675,6.89,2,4,0.5,1346.3355652173914,52.76592,676,4,676,0.5
139,0.9672,21.96,1,4,0.25,1208.0785384615385,58.6434,680,4,680,0.48
140,0.967,12.88,1,5,0.2,1408.34225,80.03208,685,5,685,0.61
141,0.9667,15.71,2,7,0.286,1127.0930833333334,54.95582,692,7,692,0.85
142,0.9665,63.89,5,6,0.833,1403.6075714285714,54.55731,698,6,698,0.77
143,0.9663,5.22,1,5,0.2,1126.2517500000001,60.02534,703,5,703,0.6
144,0.966,63.64,3,5,0.6,1175.1585833333334,46.01405,708,5,708,0.6
145,0.9658,43.03,3,4,0.75,1160.9248695652175,55.20799,712,4,712,0.5
146,0.9656,14.95,2,6,0.333,1183.3645833333333,55.8562,718,6,718,0.76
147,0.9653,4.77,1,5,0.2,1423.8477692307692,50.51898,723,5,723,0.58
148,0.9651,-13.24,2,7,0.286,1150.6533076923076,55.1823,730,7,730,0.83
149,0.9648,5.57,2,5,0.4,1517.8585,53.92522,735,5,735,0.61
150,0.9646,28.43,2,4,0.5,1526.0919999999999,64.7426,739,4,739,0.49
151,0.9644,39.1,4,7,0.571,1457.176357142857,55.25439,746,7,746,0.85
152,0.9641,61.67,5,7,0.714,1892.6472592592593,45.38896,753,7,753,0.87
153,0.9639,28.69,2,7,0.286,1645.4609999999996,52.63255,760,7,760,0.84
154,0.9637,-6.33,1,2,0.5,1295.0364,63.65512,762,2,762,0.25
155,0.9634,61.04,7,7,1.0,1414.7015000000001,51.53973,769,7,769,0.87
156,0.9632,12.68,1,4,0.25,1433.341,54.31991,773,4,773,0.48
157,0.9629,21.03,3,6,0.5,1243.4927826086955,50.51184,779,6,779,0.76
158,0.9627,17.43,2,5,0.4,1258.82525,48.94123,784,5,784,0.61
159,0.9625,7.76,2,6,0.333,1653.851,57.53512,790,6,790,0.71
160,0.9622,63.12,5,7,0.714,1360.7852500000001,62.01171,797,7,797,0.82
161,0.962,19.25,1,4,0.25,1300.009391304348,59.60491,801,4,801,0.49
162,0.9618,21.55,2,5,0.4,1165.4050769230769,63.16232,806,5,806,0.6
163,0.9615,-0.6,1,3,0.333,1342.9166666666667,47.24965,809,3,809,0.35
164,0.9613,44.44,3,5,0.6,1292.0890399999998,63.02455,814,5,814,0.6
165,0.961,5.24,2,3,0.667,1656.05472,50.91835,817,3,817,0.39
166,0.9608,18.12,2,7,0.286,1562.0843448275862,58.40923,824,7,824,0.85
167,0.9606,7.15,2,8,0.25,1096.174,70.26233,832,8,832,0.99
168,0.9603,0.8,1,4,0.25,1456.02568,62.30425,836,4,836,0.51
169,0.9601,1.16,1,3,0.333,1229.5705454545455,53.93957,839,3,839,0.38
170,0.9599,16.63,2,7,0.286,1144.8134615384615,65.69632,846,7,846,0.85
171,0.9596,26.64,1,1,1.0,1155.2601,66.16207,847,1,847,0.13
172,0.9594,14.62,2,4,0.5,927.5980000000001,65.1865,851,4,851,0.5
173,0.9591,42.65,3,8,0.375,1250.423222222222,58.25137,859,8,859,1.05
174,0.9589,21.53,2,3,0.667,1487.0436956521742,69.25914,862,3,862,0.39
175,0.9587,12.25,2,3,0.667,1220.066347826087,56.6388,865,3,865,0.34
176,0.9584,21.82,3,5,0.6,1243.5209130434782,55.96854,870,5,870,0.63
177,0.9582,48.91,6,10,0.6,1718.83609375,63.07128,880,10,880,1.24
178,0.958,53.4,5,6,0.833,1216.1284,55.1669,886,6,886,0.74
179,0.9577,27.22,2,6,0.333,1260.5056666666667,63.30992,892,6,892,0.73
180,0.9575,74.43,5,6,0.833,1288.5812307692308,68.46172,898,6,898,0.74
181,0.9572,30.85,2,6,0.333,1160.8915217391302,54.19741,904,6,904,0.74
182,0.957,52.3,5,5,1.0,1406.745653846154,58.01688,909,5,909,0.61
183,0.9568,25.77,4,7,0.571,1384.0452399999997,57.42912,916,7,916,0.86
184,0.9565,-2.45,1,3,0.333,1039.1554782608696,52.64346,919,3,919,0.37
185,0.9563,1.8,1,2,0.5,1426.1046956521736,69.15891,921,2,921,0.25
186,0.9561,39.1,4,7,0.571,1375.538275862069,64.7409,928,7,928,0.86
187,0.9558,2.58,1,2,0.5,1368.5765714285715,49.87244,930,2,930,0.25
188,0.9556,4.5,2,4,0.5,1131.106,61.79563,934,4,934,0.48
189,0.9553,20.71,3,4,0.75,1206.93568,65.11738,938,4,938,0.49
190,0.9551,30.11,3,6,0.5,1114.0344,55.51217,944,6,944,0.73
191,0.9549,68.04,4,6,0.667,1462.1298620689656,68.56967,950,6,950,0.73
192,0.9546,8.15,2,2,1.0,1185.9690476190476,60.97698,952,2,952,0.25
193,0.9544,-9.52,1,2,0.5,1307.1625714285715,83.12565,954,2,954,0.25
194,0.9542,15.22,1,5,0.2,1145.2423333333334,63.08092,959,5,959,0.63
195,0.9539,-8.65,0,4,0.0,1432.5,66.43714,963,4,963,0.48
196,0.9537,6.46,2,5,0.4,1753.5813928571429,57.82831,968,5,968,0.6
197,0.9534,-4.71,1,2,0.5,1027.0198,61.06678,970,2,970,0.25
198,0.9532,9.67,1,7,0.143,1610.0049999999999,66.82986,977,7,977,0.85
199,0.953,21.97,2,6,0.333,1286.41824,64.12541,983,6,983,0.73
200,0.9527,9.7,2,7,0.286,1153.851076923077,64.78495,990,7,990,0.85
201,0.9525,63.4,4,5,0.8,1503.952230769231,83.58963,995,5,995,0.56
202,0.9523,36.66,4,6,0.667,1507.771923076923,62.84109,1001,6,1001,0.76
203,0.952,0.12,1,3,0.333,1083.3423333333333,73.54471,1004,3,1004,0.37
204,0.9518,72.52,7,12,0.583,1680.63,72.88981,1016,12,1016,1.45
205,0.9515,29.97,3,5,0.6,1868.2820714285715,76.8923,1021,5,1021,0.52
206,0.9513,50.46,3,7,0.429,1117.9630714285713,70.21726,1028,7,1028,0.84
207,0.9511,34.06,2,5,0.4,1191.7243333333333,59.85124,1033,5,1033,0.62
208,0.9508,32.13,3,5,0.6,1167.1186296296296,64.0665,1038,5,1038,0.63
209,0.9506,36.43,6,9,0.667,1800.0273000000002,64.91048,1047,9,1047,1.09
210,0.9504,-18.95,0,3,0.0,1395.0,65.08455,1050,3,1050,0.36
211,0.9501,46.84,6,6,1.0,1770.4089999999999,73.26309,1056,6,1056,0.73
212,0.9499,40.25,2,4,0.5,1333.5995416666667,79.74535,1060,4,1060,0.46
213,0.9496,38.54,5,10,0.5,1384.7599333333333,70.39598,1070,10,1070,1.21
214,0.9494,1.35,1,3,0.333,1318.1925,72.80802,1073,3,1073,0.38
215,0.9492,8.87,1,7,0.143,1455.1724137931035,75.03863,1080,7,1080,0.86
216,0.9489,22.9,3,3,1.0,1252.3639565217393,62.2015,1083,3,1083,0.39
217,0.9487,57.82,3,3,1.0,1500.0973636363635,104.18831,1086,3,1086,0.36
218,0.9484,9.85,1,5,0.2,1426.923076923077,86.27202,1091,5,1091,0.63
219,0.9482,0.91,1,3,0.333,1228.578761904762,54.62276,1094,3,1094,0.35
220,0.948,5.4,1,7,0.143,1159.5238095238096,75.02584,1101,7,1101,0.86
221,0.9477,0.51,2,4,0.5,1522.8477391304348,67.53892,1105,4,1105,0.48
222,0.9475,-0.99,1,4,0.25,1260.00168,79.06242,1109,4,1109,0.46
223,0.9473,27.25,3,6,0.5,1251.1707407407407,67.00199,1115,6,1115,0.7
224,0.947,-0.48,1,6,0.167,1140.4083076923075,78.1104,1121,6,1121,0.76
225,0.9468,35.69,4,5,0.8,1653.9698846153847,75.53853,1126,5,1126,0.59
226,0.9465,56.99,3,8,0.375,1796.1822307692307,71.66692,1134,8,1134,0.97
227,0.9463,38.04,5,9,0.556,1471.0082068965517,72.00156,1143,9,1143,1.13
228,0.9461,0.7,1,2,0.5,1263.5,69.42546,1145,2,1145,0.25
229,0.9458,39.58,2,8,0.25,1480.5794375,78.73223,1153,8,1153,0.91
230,0.9456,17.33,1,5,0.2,1151.4359047619048,90.70284,1158,5,1158,0.64
231,0.9454,35.49,4,8,0.5,1358.16008,71.31279,1166,8,1166,0.93
232,0.9451,32.17,2,4,0.5,1078.07728,94.39489,1170,4,1170,0.49
233,0.9449,22.22,3,7,0.429,1775.0249999999999,74.52224,1177,7,1177,0.88
234,0.9446,12.42,2,2,1.0,1134.2928181818183,49.96352,1179,2,1179,0.25
235,0.9444,32.82,5,8,0.625,1846.97340625,68.6977,1187,8,1187,0.98
236,0.9442,18.37,2,4,0.5,1154.1904166666666,63.15175,1191,4,1191,0.49
237,0.9439,8.0,2,6,0.333,1518.5039655172413,65.20607,1197,6,1197,0.75
238,0.9437,77.93,6,7,0.857,1546.398892857143,67.04811,1204,7,1204,0.88
239,0.9435,30.51,1,5,0.2,1122.9230833333334,72.60706,1209,5,1209,0.6
240,0.9432,2.98,1,4,0.25,1147.6400476190477,87.77534,1213,4,1213,0.51
241,0.943,31.15,1,6,0.167,1155.3381333333334,84.79339,1219,6,1219,0.77
242,0.9427,30.39,3,6,0.5,1150.0300666666667,80.69833,1225,6,1225,0.72
243,0.9425,68.74,6,7,0.857,1288.5543846153846,94.09411,1232,7,1232,0.88
244,0.9423,32.88,3,5,0.6,1332.01984,89.95494,1237,5,1237,0.61
245,0.942,7.61,2,5,0.4,1231.8820740740741,79.89095,1242,5,1242,0.66
246,0.9418,4.6,1,4,0.25,1243.492043478261,85.46954,1246,4,1246,0.48
247,0.9416,47.67,3,4,0.75,1211.958090909091,93.80539,1250,4,1250,0.49
248,0.9413,10.09,1,4,0.25,1218.6987826086956,103.24183,1254,4,1254,0.48
249,0.9411,35.29,4,8,0.5,1758.0842903225805,89.01185,1262,8,1262,0.99
250,0.9408,6.4,0,4,0.0,1455.0,88.31417,1266,4,1266,0.42
251,0.9406,8.63,2,6,0.333,1153.614857142857,70.72481,1272,6,1272,0.75
252,0.9404,28.89,2,7,0.286,1178.420695652174,81.56818,1279,7,1279,0.94
253,0.9401,10.48,4,7,0.571,1755.1964137931034,91.54346,1286,7,1286,0.9
254,0.9399,15.67,2,5,0.4,1296.1801538461539,98.36593,1291,5,1291,0.63
255,0.9397,20.05,2,6,0.333,1352.1769130434782,90.5374,1297,6,1297,0.79
256,0.9394,36.72,3,7,0.429,1372.824846153846,90.6537,1304,7,1304,0.91
257,0.9392,28.01,3,6,0.5,1513.9059655172414,81.30201,1310,6,1310,0.78
258,0.9389,14.44,2,6,0.333,1150.0192307692307,88.93994,1316,6,1316,0.79
259,0.9387,36.1,2,5,0.4,1311.130777777778,85.40148,1321,5,1321,0.66
260,0.9385,21.65,2,6,0.333,1250.1484166666667,83.64728,1327,6,1327,0.74
261,0.9382,-4.6,0,3,0.0,997.5,75.48572,1330,3,1330,0.38
262,0.938,5.18,1,3,0.333,1885.7190476190476,77.87729,1333,3,1333,0.39
263,0.9378,-14.9,0,3,0.0,1580.0,76.03529,1336,3,1336,0.36
264,0.9375,-2.8,0,3,0.0,1420.0,58.63024,1339,3,1339,0.39
265,0.9373,-4.2,1,4,0.25,1112.52635,88.36125,1343,4,1343,0.51
266,0.937,30.51,3,4,0.75,1627.8970000000002,99.23718,1347,4,1347,0.53
267,0.9368,-13.6,1,4,0.25,1421.7434347826088,73.50803,1351,4,1351,0.53
268,0.9366,19.25,4,5,0.8,1430.8103076923076,96.96032,1356,5,1356,0.65
269,0.9363,24.25,3,4,0.75,1362.2566399999998,95.491,1360,4,1360,0.53
270,0.9361,12.55,1,2,0.5,1482.3714,97.11676,1362,2,1362,0.26
271,0.9359,-0.06,1,4,0.25,1202.02304,97.25191,1366,4,1366,0.53
272,0.9356,-7.45,0,4,0.0,1330.0,84.35322,1370,4,1370,0.51
273,0.9354,43.74,4,4,1.0,1546.2757692307691,109.11066,1374,4,1374,0.52
274,0.9351,27.8,4,6,0.667,1290.6609615384614,91.83835,1380,6,1380,0.79
275,0.9349,32.12,2,5,0.4,1520.8544583333332,73.78159,1385,5,1385,0.64
276,0.9347,-9.75,0,3,0.0,1265.0,70.61733,1388,3,1388,0.38
277,0.9344,6.04,2,5,0.4,1329.994,76.66472,1393,5,1393,0.65
278,0.9342,38.46,5,7,0.714,1642.0924137931036,95.25582,1400,7,1400,0.9
279,0.934,40.63,3,7,0.429,1048.6675357142856,96.52968,1407,7,1407,0.91
280,0.9337,40.82,2,4,0.5,1305.0,85.99959,1411,4,1411,0.5
281,0.9335,1.98,1,5,0.2,1470.8132,91.36585,1416,5,1416,0.65
282,0.9332,23.15,2,3,0.667,1435.775652173913,68.58028,1419,3,1419,0.39
283,0.933,41.83,4,8,0.5,1733.3668,71.81875,1427,8,1427,1.05
284,0.9328,83.08,7,9,0.778,1590.9686666666669,80.7586,1436,9,1436,1.11
285,0.9325,16.56,2,3,0.667,1137.9957272727274,78.66721,1439,3,1439,0.37
286,0.9323,-1.97,1,3,0.333,1208.7020869565217,109.37318,1442,3,1442,0.38
287,0.9321,4.06,2,3,0.667,1800.0482499999998,83.59084,1445,3,1445,0.36
288,0.9318,23.38,2,5,0.4,1215.7640434782609,97.14976,1450,5,1450,0.66
289,0.9316,21.4,1,2,0.5,1443.2595909090908,77.30619,1452,2,1452,0.27
290,0.9313,11.08,2,6,0.333,1114.4958148148148,108.32353,1458,6,1458,0.76
291,0.9311,-7.35,0,3,0.0,915.0,94.84303,1461,3,1461,0.38
292,0.9309,16.43,3,8,0.375,1416.0147200000001,92.22576,1469,8,1469,1.03
293,0.9306,43.9,2,5,0.4,1449.9797037037035,101.02386,1474,5,1474,0.66
294,0.9304,67.61,6,9,0.667,1440.8467407407409,104.02721,1483,9,1483,1.16
295,0.9302,-11.0,0,3,0.0,1010.0,97.98301,1486,3,1486,0.39
296,0.9299,31.62,2,5,0.4,1335.8614583333333,92.51951,1491,5,1491,0.66
297,0.9297,17.88,1,5,0.2,1171.8573333333334,80.34811,1496,5,1496,0.64
298,0.9294,7.09,2,5,0.4,1303.8586153846154,79.46215,1501,5,1501,0.59
299,0.9292,30.93,2,5,0.4,1600.0179166666667,89.87668,1506,5,1506,0.64
300,0.929,24.75,3,5,0.6,1043.5591304347827,95.25434,1511,5,1511,0.61
301,0.9287,52.04,4,4,1.0,1504.2612500000002,77.51189,1515,4,1515,0.46
302,0.9285,7.96,1,7,0.143,1442.595037037037,104.51053,1522,7,1522,0.84
303,0.9283,-7.8,0,4,0.0,1626.4,75.61075,1526,4,1526,0.52
304,0.928,55.8,3,4,0.75,1458.5485833333332,94.18487,1530,4,1530,0.5
305,0.9278,15.99,2,4,0.5,1192.7392727272727,113.71303,1534,4,1534,0.5
306,0.9275,30.69,2,4,0.5,1203.4967826086959,105.47863,1538,4,1538,0.44
307,0.9273,35.66,3,6,0.5,1327.3627142857144,87.41285,1544,6,1544,0.73
308,0.9271,-2.93,1,5,0.2,1191.3244347826087,86.46651,1549,5,1549,0.59
309,0.9268,-3.97,2,5,0.4,1548.0771153846156,88.04622,1554,5,1554,0.6
310,0.9266,-5.98,1,3,0.333,1267.3984347826085,101.03688,1557,3,1557,0.37
311,0.9264,6.1,0,4,0.0,1070.75,105.7753,1561,4,1561,0.45
312,0.9261,18.77,3,3,1.0,1181.0187826086956,83.18644,1564,3,1564,0.36
313,0.9259,52.09,4,6,0.667,1307.216,83.47575,1570,6,1570,0.72
314,0.9256,34.9,3,3,1.0,1369.094347826087,86.41369,1573,3,1573,0.36
315,0.9254,38.69,3,4,0.75,1608.3547916666666,77.95958,1577,4,1577,0.48
316,0.9252,43.03,2,5,0.4,1733.4880833333334,79.69853,1582,5,1582,0.59
317,0.9249,6.66,2,3,0.667,1333.3335714285715,99.98472,1585,3,1585,0.35
318,0.9247,-1.9,1,3,0.333,1218.0076,86.91666,1588,3,1588,0.35
319,0.9245,18.66,2,2,1.0,1050.1682857142857,79.62629,1590,2,1590,0.24
320,0.9242,13.39,1,4,0.25,1305.0047,91.27481,1594,4,1594,0.51
321,0.924,15.5,1,5,0.2,1137.964,90.40136,1599,5,1599,0.63
322,0.9237,50.31,2,9,0.222,1250.045379310345,85.86538,1608,9,1608,1.17
323,0.9235,-2.77,1,3,0.333,1137.5285000000001,91.08497,1611,3,1611,0.38
324,0.9233,15.39,3,5,0.6,1385.5867407407407,115.47965,1616,5,1616,0.65
325,0.923,39.73,3,6,0.5,1327.2953636363636,102.76104,1622,6,1622,0.78
